datetime,symbol,open,high,low,close,volume
2/15/2023 1:35,OANDA:EURUSD,1.07376,1.07376,1.07358,1.07372,19
2/15/2023 1:40,OANDA:EURUSD,1.07372,1.07374,1.07352,1.07352,25
2/15/2023 1:45,OANDA:EURUSD,1.07352,1.07374,1.07352,1.07371,34
2/15/2023 1:50,OANDA:EURUSD,1.07371,1.07374,1.07363,1.07374,24
2/15/2023 1:55,OANDA:EURUSD,1.07374,1.07374,1.07354,1.07362,27
2/15/2023 2:00,OANDA:EURUSD,1.07362,1.07363,1.07335,1.07344,49
2/15/2023 2:05,OANDA:EURUSD,1.07344,1.07346,1.07342,1.07344,26
2/15/2023 2:10,OANDA:EURUSD,1.07344,1.07358,1.07342,1.07354,96
2/15/2023 2:15,OANDA:EURUSD,1.07354,1.07364,1.07354,1.07364,56
2/15/2023 2:20,OANDA:EURUSD,1.07364,1.07364,1.07354,1.07354,44
2/15/2023 2:25,OANDA:EURUSD,1.07354,1.07356,1.07349,1.07351,41
2/15/2023 2:30,OANDA:EURUSD,1.07351,1.07358,1.07338,1.0735,476
2/15/2023 2:35,OANDA:EURUSD,1.0735,1.07355,1.07348,1.07348,146
2/15/2023 2:40,OANDA:EURUSD,1.07348,1.0735,1.0734,1.07348,146
2/15/2023 2:45,OANDA:EURUSD,1.07348,1.07355,1.07342,1.07353,136
2/15/2023 2:50,OANDA:EURUSD,1.07353,1.07359,1.07342,1.07348,103
2/15/2023 2:55,OANDA:EURUSD,1.07348,1.07365,1.07348,1.07364,110
2/15/2023 3:00,OANDA:EURUSD,1.07364,1.07396,1.07359,1.07378,156
2/15/2023 3:05,OANDA:EURUSD,1.07378,1.0739,1.0736,1.0737,170
2/15/2023 3:10,OANDA:EURUSD,1.0737,1.07376,1.0736,1.07376,148
2/15/2023 3:15,OANDA:EURUSD,1.07376,1.07381,1.07355,1.07356,73
2/15/2023 3:20,OANDA:EURUSD,1.07356,1.07362,1.07344,1.07352,93
2/15/2023 3:25,OANDA:EURUSD,1.07352,1.07354,1.07344,1.07354,77
2/15/2023 3:30,OANDA:EURUSD,1.07354,1.07354,1.07338,1.07342,202
2/15/2023 3:35,OANDA:EURUSD,1.07342,1.0736,1.0734,1.07352,171
2/15/2023 3:40,OANDA:EURUSD,1.07352,1.07354,1.0733,1.07334,194
2/15/2023 3:45,OANDA:EURUSD,1.07334,1.07344,1.07328,1.07335,270
2/15/2023 3:50,OANDA:EURUSD,1.07335,1.07367,1.0733,1.07363,204
2/15/2023 3:55,OANDA:EURUSD,1.07363,1.07392,1.07358,1.07386,363
2/15/2023 4:00,OANDA:EURUSD,1.07386,1.07386,1.0735,1.0735,300
2/15/2023 4:05,OANDA:EURUSD,1.0735,1.07368,1.07348,1.07362,249
2/15/2023 4:10,OANDA:EURUSD,1.07362,1.07382,1.07358,1.07374,219
2/15/2023 4:15,OANDA:EURUSD,1.07374,1.07374,1.07352,1.0736,183
2/15/2023 4:20,OANDA:EURUSD,1.0736,1.07402,1.0736,1.07391,321
2/15/2023 4:25,OANDA:EURUSD,1.07391,1.07402,1.07379,1.0738,179
2/15/2023 4:30,OANDA:EURUSD,1.0738,1.07396,1.07358,1.07396,217
2/15/2023 4:35,OANDA:EURUSD,1.07396,1.07423,1.0739,1.07408,227
2/15/2023 4:40,OANDA:EURUSD,1.07408,1.07417,1.07392,1.07412,279
2/15/2023 4:45,OANDA:EURUSD,1.07412,1.07427,1.07408,1.07426,229
2/15/2023 4:50,OANDA:EURUSD,1.07426,1.07435,1.07414,1.07422,246
2/15/2023 4:55,OANDA:EURUSD,1.07422,1.07432,1.07414,1.07427,195
2/15/2023 5:00,OANDA:EURUSD,1.07427,1.07436,1.07422,1.07432,210
2/15/2023 5:05,OANDA:EURUSD,1.07432,1.07446,1.07423,1.07428,232
2/15/2023 5:10,OANDA:EURUSD,1.07428,1.07438,1.0741,1.07416,286
2/15/2023 5:15,OANDA:EURUSD,1.07416,1.07416,1.0739,1.0739,307
2/15/2023 5:20,OANDA:EURUSD,1.0739,1.07399,1.07384,1.07392,289
2/15/2023 5:25,OANDA:EURUSD,1.07392,1.074,1.07374,1.07398,256
2/15/2023 5:30,OANDA:EURUSD,1.07398,1.074,1.07349,1.07356,259
2/15/2023 5:35,OANDA:EURUSD,1.07356,1.07366,1.0732,1.07325,309
2/15/2023 5:40,OANDA:EURUSD,1.07325,1.0733,1.07311,1.07321,241
2/15/2023 5:45,OANDA:EURUSD,1.07321,1.07325,1.07268,1.0727,309
2/15/2023 5:50,OANDA:EURUSD,1.0727,1.07291,1.07269,1.07282,258
2/15/2023 5:55,OANDA:EURUSD,1.07282,1.07305,1.07276,1.07282,259
2/15/2023 6:00,OANDA:EURUSD,1.07282,1.07292,1.0727,1.07276,291
2/15/2023 6:05,OANDA:EURUSD,1.07276,1.07276,1.07251,1.07266,298
2/15/2023 6:10,OANDA:EURUSD,1.07266,1.07266,1.07236,1.07248,278
2/15/2023 6:15,OANDA:EURUSD,1.07248,1.07258,1.07236,1.0724,281
2/15/2023 6:20,OANDA:EURUSD,1.0724,1.07259,1.07233,1.07243,245
2/15/2023 6:25,OANDA:EURUSD,1.07243,1.07274,1.07243,1.07248,446
2/15/2023 6:30,OANDA:EURUSD,1.07248,1.07254,1.0724,1.07242,216
2/15/2023 6:35,OANDA:EURUSD,1.07242,1.07258,1.07233,1.07244,304
2/15/2023 6:40,OANDA:EURUSD,1.07244,1.0727,1.07236,1.07264,273
2/15/2023 6:45,OANDA:EURUSD,1.07264,1.07275,1.07256,1.07274,254
2/15/2023 6:50,OANDA:EURUSD,1.07274,1.07278,1.07244,1.07252,251
2/15/2023 6:55,OANDA:EURUSD,1.07252,1.07264,1.07248,1.07252,171
2/15/2023 7:00,OANDA:EURUSD,1.07252,1.07254,1.07221,1.07221,248
2/15/2023 7:05,OANDA:EURUSD,1.07221,1.07228,1.07194,1.07211,224
2/15/2023 7:10,OANDA:EURUSD,1.07211,1.07214,1.07173,1.07181,252
2/15/2023 7:15,OANDA:EURUSD,1.07181,1.07199,1.07172,1.07195,285
